ID,Make ID,Model ID,Annual Petroleum Consumption For Fuel Type1,City Mpg For Fuel Type1,Combined Mpg For Fuel Type1,Highway Mpg For Fuel Type1
1,1,1,13.52,20,22,26
2,1,2,14.88,18,20,26
3,1,3,12.40,22,24,28
4,1,4,12.40,21,24,29
5,1,5,13.52,19,22,27
6,1,6,14.88,17,20,26
7,1,7,14.88,17,20,26
8,1,8,12.40,21,24,29
9,1,9,13.52,20,22,27
10,1,10,14.88,18,20,23
11,1,11,14.88,18,20,23
12,1,12,15.66,17,19,22
13,1,13,15.66,17,19,22
14,1,14,14.88,18,20,23
15,1,15,15.66,17,19,22
16,1,16,14.88,17,20,23
17,1,17,14.88,17,20,27
18,1,18,14.17,17,21,27
19,1,19,14.88,17,20,26
20,1,20,14.17,17,21,27
21,1,21,14.88,17,20,25
22,1,22,14.88,17,20,27
23,1,23,14.88,17,20,27
24,1,24,14.17,17,21,27
25,1,25,14.17,17,21,27
26,1,26,15.66,17,19,23
27,1,27,15.66,17,19,23
28,1,28,15.66,17,19,23
29,1,29,16.53,16,18,22
30,1,30,16.53,16,18,22
31,1,31,16.53,16,18,22
32,1,32,16.53,16,18,22
33,1,33,16.53,16,18,22
34,1,34,16.53,16,18,22
35,1,35,11.90,22,25,31
36,1,36,11.02,24,27,34
37,1,37,11.90,22,25,31
38,1,38,11.02,24,27,34
39,1,39,11.90,22,25,31
40,1,40,10.63,24,28,34
41,1,41,10.26,25,29,35
42,1,42,10.26,25,29,35
43,1,43,10.26,25,29,35
44,1,44,10.63,24,28,34
45,1,45,10.63,24,28,34
46,1,46,10.63,24,28,34
47,1,47,10.63,24,28,34
48,1,48,7.83,38,38,38
49,1,49,7.83,38,38,38
50,1,50,11.90,23,25,28
51,1,51,12.40,22,24,28
52,1,52,12.40,22,24,28
53,1,53,11.90,23,25,28
54,1,54,11.90,23,25,28
55,1,55,12.40,22,24,27
56,1,56,11.90,23,25,28
57,1,57,12.40,22,24,27
58,1,58,13.52,20,22,24
59,1,59,12.94,21,23,26
60,1,60,12.94,21,23,26
61,1,61,12.94,21,23,26
62,1,62,12.94,21,23,26
63,1,63,12.40,22,24,28
64,1,64,12.94,21,23,26
65,1,65,12.94,21,23,26
66,1,66,11.90,22,25,29
67,1,67,12.94,21,23,26
68,1,68,12.40,22,24,28
69,1,69,11.90,22,25,29
70,1,70,12.40,21,24,29
71,1,71,11.90,22,25,29
72,1,72,12.40,21,24,29
73,1,73,12.40,22,24,28
74,1,74,11.90,22,25,29
75,1,75,12.40,21,24,29
76,1,76,11.90,22,25,29
77,1,77,12.40,21,24,29
78,1,78,11.90,22,25,29
79,1,79,11.90,22,25,29
80,1,80,12.40,22,24,29
81,1,81,12.40,21,24,29
82,1,82,12.40,22,24,28
83,1,83,11.90,22,25,29
84,1,84,12.40,22,24,28
85,1,85,12.40,21,24,29
86,1,86,12.40,22,24,28
87,1,87,12.94,21,23,28
88,1,88,12.40,22,24,28
89,1,89,12.40,22,24,28
90,1,90,12.40,22,24,28
91,1,91,12.94,21,23,28
92,1,92,9.02,30,33,37
93,1,93,9.02,30,33,37
94,1,94,12.40,21,24,28
95,1,95,9.02,30,33,37
96,1,96,9.92,26,30,36
97,1,97,9.30,29,32,36
98,1,98,9.92,26,30,36
99,1,99,9.30,29,32,36
100,1,100,9.30,29,32,36
101,1,101,9.92,26,30,36
102,1,102,14.88,18,20,23
103,1,103,15.66,17,19,22
104,1,104,16.53,16,18,22
105,1,105,15.66,17,19,23
106,1,106,15.66,17,19,22
107,1,107,14.88,18,20,23
108,1,108,16.53,16,18,21
109,1,109,15.66,17,19,22
110,1,110,16.53,16,18,20
111,1,111,15.66,17,19,22
112,1,112,15.66,17,19,22
113,1,113,16.53,16,18,20
114,1,114,16.53,17,18,21
115,1,115,15.66,16,19,24
116,1,116,15.66,16,19,24
117,1,117,15.66,17,19,22
118,1,118,15.66,17,19,22
119,1,119,16.53,16,18,21
120,1,120,16.53,16,18,23
121,1,121,16.53,15,18,23
122,1,122,15.66,17,19,22
123,1,123,16.53,16,18,21
124,1,124,15.66,16,19,23
125,1,125,15.66,16,19,24
126,1,126,15.66,16,19,23
127,1,127,16.53,16,18,21
128,1,128,15.66,16,19,24
129,1,129,15.66,17,19,22
130,1,130,17.50,15,17,21
131,1,131,17.50,15,17,21
132,1,132,12.94,20,23,28
133,1,133,12.94,20,23,28
134,1,134,13.52,19,22,27
135,1,135,12.94,20,23,27
136,1,136,17.50,15,17,21
137,1,137,17.50,15,17,21
138,1,138,17.50,15,17,21
139,1,139,17.50,15,17,21
140,1,140,17.50,15,17,20
141,1,141,17.50,15,17,20
142,1,142,17.50,15,17,20
143,1,143,16.53,16,18,21
144,1,144,16.53,16,18,21
145,1,145,16.53,16,18,21
146,1,146,16.53,16,18,21
147,1,147,14.17,18,21,27
148,1,148,14.17,18,21,27
149,1,149,14.17,18,21,26
150,1,150,13.52,19,22,26
151,1,151,13.52,19,22,26
152,1,152,14.17,18,21,26
153,1,153,14.17,18,21,26
154,1,154,13.52,19,22,26
155,1,155,13.52,19,22,26
156,1,156,13.52,19,22,26
157,1,157,14.17,19,21,25
158,1,158,14.17,19,21,25
159,1,159,14.17,19,21,25
160,1,160,14.17,19,21,25
161,1,161,14.17,19,21,25
162,1,162,15.66,17,19,21
163,1,163,15.66,17,19,21
164,1,164,15.66,17,19,21
165,1,165,12.94,20,23,27
166,1,166,13.52,19,22,27
167,1,167,12.94,20,23,27
168,1,168,13.52,19,22,27
169,1,169,12.94,20,23,27
170,1,170,12.94,20,23,27
171,1,171,13.52,19,22,26
172,1,172,13.52,19,22,26
173,1,173,13.52,19,22,26
174,1,174,11.02,26,27,27
175,1,175,11.02,26,27,27
176,1,176,11.02,26,27,27
177,1,177,11.02,26,27,27
178,1,178,16.53,16,18,22
179,1,179,16.53,16,18,22
180,1,180,15.66,17,19,22
181,1,181,15.66,16,19,22
182,1,182,15.66,17,19,22
183,1,183,16.53,16,18,22
184,1,184,16.53,16,18,22
185,1,185,15.66,17,19,22
186,1,186,16.53,16,18,22
187,1,187,16.53,16,18,22
188,1,188,16.53,16,18,22
189,1,189,16.53,16,18,22
190,1,190,16.53,16,18,22
191,1,191,16.53,16,18,22
192,1,192,16.53,16,18,22
193,1,193,16.53,16,18,22
194,1,194,16.53,15,18,22
195,1,195,16.53,15,18,22
196,1,196,16.53,15,18,22
197,1,197,16.53,15,18,22
198,1,198,16.53,15,18,22
199,1,199,16.53,15,18,22
200,1,200,16.53,15,18,22
201,1,201,16.53,15,18,22
202,1,202,16.53,16,18,22
203,1,203,16.53,16,18,22
204,1,204,16.53,16,18,22
205,1,205,16.53,16,18,22
206,1,206,14.17,21,21,22
207,1,207,14.17,21,21,22
208,1,208,14.17,21,21,22
209,1,209,14.17,21,21,22
210,1,210,14.17,21,21,22
211,1,211,14.17,21,21,22
212,1,212,14.17,19,21,24
213,1,213,14.17,19,21,24
214,1,214,14.17,19,21,24
215,1,215,12.94,20,23,28
216,1,216,12.94,20,23,28
217,1,217,12.94,20,23,28
218,1,218,12.94,20,23,28
219,1,219,15.66,17,19,22
220,1,220,15.66,17,19,22
221,1,221,15.66,17,19,22
222,1,222,15.66,17,19,22
223,1,223,15.66,17,19,22
224,1,224,15.66,17,19,22
225,1,225,13.52,19,22,27
226,1,226,13.52,19,22,27
227,1,227,13.52,19,22,27
228,1,228,13.52,19,22,27
229,1,229,13.52,19,22,27
230,1,230,13.52,19,22,27
231,1,231,12.94,21,23,27
232,1,232,12.94,21,23,27
233,1,233,12.94,21,23,27
234,1,234,12.94,21,23,27
235,1,235,12.94,21,23,27
236,1,236,12.94,21,23,27
237,1,237,12.94,21,23,26
238,1,238,12.94,21,23,26
239,1,239,12.94,21,23,26
240,1,240,12.94,21,23,26
241,1,241,12.94,21,23,26
242,1,242,12.94,21,23,26
243,1,243,12.94,20,23,28
244,1,244,12.94,20,23,28
245,1,245,12.40,22,24,28
246,1,246,12.40,22,24,28
247,1,247,12.40,22,24,28
248,1,248,12.40,22,24,28
249,1,249,12.40,22,24,28
250,1,250,12.40,22,24,27
251,1,251,12.40,22,24,27
252,1,252,12.40,22,24,27
253,1,253,12.40,22,24,27
254,1,254,12.40,22,24,27
255,1,255,15.66,16,19,24
256,1,256,15.66,16,19,24
257,1,257,15.66,16,19,24
258,1,258,15.66,16,19,24
259,1,259,16.53,16,18,22
260,1,260,16.53,16,18,22
261,1,261,14.88,17,20,24
262,1,262,14.88,17,20,24
263,1,263,12.94,20,23,30
264,1,264,12.94,20,23,30
265,1,265,12.94,20,23,30
266,1,266,12.94,20,23,30
267,1,267,12.94,20,23,29
268,1,268,12.94,20,23,29
269,1,269,12.94,20,23,29
270,1,270,9.92,28,30,31
271,1,271,9.92,28,30,31
272,1,272,10.26,29,29,30
273,1,273,10.63,28,28,29
274,1,274,10.63,28,28,29
275,1,275,10.63,28,28,29
276,1,276,12.40,21,24,28
277,1,277,11.44,23,26,30
278,1,278,12.40,21,24,30
279,1,279,11.90,21,25,30
280,1,280,11.44,24,26,30
281,1,281,12.40,21,24,28
282,1,282,11.90,22,25,31
283,1,283,11.44,24,26,30
284,1,284,12.40,21,24,28
285,1,285,11.44,24,26,31
286,1,286,11.90,22,25,31
287,1,287,12.94,20,23,28
288,1,288,11.90,22,25,31
289,1,289,11.44,24,26,31
290,1,290,12.94,20,23,28
