ID,Model
1,2.2CL/3.0CL
2,2.2CL/3.0CL
3,2.2CL/3.0CL
4,2.3CL/3.0CL
5,2.3CL/3.0CL
6,2.3CL/3.0CL
7,2.3CL/3.0CL
8,2.3CL/3.0CL
9,2.3CL/3.0CL
10,2.5TL
11,2.5TL/3.2TL
12,2.5TL/3.2TL
13,2.5TL/3.2TL
14,2.5TL/3.2TL
15,2.5TL/3.2TL
16,2.5TL/3.2TL
17,3.2CL
18,3.2CL
19,3.2CL
20,3.2CL
21,3.2TL
22,3.2TL
23,3.2TL
24,3.2TL
25,3.2TL
26,3.5RL
27,3.5RL
28,3.5RL
29,3.5RL
30,3.5RL
31,3.5RL
32,3.5RL
33,3.5RL
34,3.5RL
35,ILX
36,ILX
37,ILX
38,ILX
39,ILX
40,ILX
41,ILX
42,ILX
43,ILX
44,ILX
45,ILX
46,ILX
47,ILX
48,ILX Hybrid
49,ILX Hybrid
50,Integra
51,Integra
52,Integra
53,Integra
54,Integra
55,Integra
56,Integra
57,Integra
58,Integra
59,Integra
60,Integra
61,Integra
62,Integra
63,Integra
64,Integra
65,Integra
66,Integra
67,Integra
68,Integra
69,Integra
70,Integra
71,Integra
72,Integra
73,Integra
74,Integra
75,Integra
76,Integra
77,Integra
78,Integra
79,Integra
80,Integra
81,Integra
82,Integra
83,Integra
84,Integra
85,Integra
86,Integra
87,Integra
88,Integra
89,Integra
90,Integra
91,Integra
92,Integra
93,Integra
94,Integra
95,Integra
96,Integra A-Spec
97,Integra A-Spec
98,Integra A-Spec
99,Integra A-Spec
100,Integra A-Spec
101,Integra A-Spec
102,Legend
103,Legend
104,Legend
105,Legend
106,Legend
107,Legend
108,Legend
109,Legend
110,Legend
111,Legend
112,Legend
113,Legend
114,Legend
115,Legend
116,Legend
117,Legend
118,Legend
119,Legend
120,Legend
121,Legend
122,Legend
123,Legend
124,Legend
125,Legend
126,Legend
127,Legend
128,Legend
129,Legend
130,MDX
131,MDX
132,MDX 2WD
133,MDX 2WD
134,MDX 2WD
135,MDX 2WD
136,MDX 4WD
137,MDX 4WD
138,MDX 4WD
139,MDX 4WD
140,MDX 4WD
141,MDX 4WD
142,MDX 4WD
143,MDX 4WD
144,MDX 4WD
145,MDX 4WD
146,MDX 4WD
147,MDX 4WD
148,MDX 4WD
149,MDX 4WD
150,MDX 4WD
151,MDX AWD
152,MDX AWD
153,MDX AWD
154,MDX AWD
155,MDX AWD
156,MDX AWD
157,MDX AWD
158,MDX AWD
159,MDX AWD
160,MDX AWD A-SPEC
161,MDX AWD A-SPEC
162,MDX AWD Type-S
163,MDX AWD Type-S
164,MDX AWD Type-S
165,MDX FWD
166,MDX FWD
167,MDX FWD
168,MDX FWD
169,MDX FWD
170,MDX FWD
171,MDX FWD
172,MDX FWD
173,MDX FWD
174,MDX Hybrid AWD
175,MDX Hybrid AWD
176,MDX Hybrid AWD
177,MDX Hybrid AWD
178,NSX
179,NSX
180,NSX
181,NSX
182,NSX
183,NSX
184,NSX
185,NSX
186,NSX
187,NSX
188,NSX
189,NSX
190,NSX
191,NSX
192,NSX
193,NSX
194,NSX
195,NSX
196,NSX
197,NSX
198,NSX
199,NSX
200,NSX
201,NSX
202,NSX
203,NSX
204,NSX
205,NSX
206,NSX Hybrid
207,NSX Hybrid
208,NSX Hybrid
209,NSX Hybrid
210,NSX Hybrid
211,NSX Hybrid
212,RDX 2WD
213,RDX 2WD
214,RDX 2WD
215,RDX 2WD
216,RDX 2WD
217,RDX 2WD
218,RDX 2WD
219,RDX 4WD
220,RDX 4WD
221,RDX 4WD
222,RDX 4WD
223,RDX 4WD
224,RDX 4WD
225,RDX 4WD
226,RDX 4WD
227,RDX 4WD
228,RDX 4WD
229,RDX AWD
230,RDX AWD
231,RDX AWD
232,RDX AWD
233,RDX AWD
234,RDX AWD
235,RDX AWD
236,RDX AWD
237,RDX AWD A-SPEC
238,RDX AWD A-SPEC
239,RDX AWD A-SPEC
240,RDX AWD A-SPEC
241,RDX AWD A-SPEC
242,RDX AWD A-SPEC
243,RDX FWD
244,RDX FWD
245,RDX FWD
246,RDX FWD
247,RDX FWD
248,RDX FWD
249,RDX FWD
250,RDX FWD A-SPEC
251,RDX FWD A-SPEC
252,RDX FWD A-SPEC
253,RDX FWD A-SPEC
254,RDX FWD A-SPEC
255,RL
256,RL
257,RL
258,RL
259,RL
260,RL
261,RL
262,RL
263,RLX
264,RLX
265,RLX
266,RLX
267,RLX
268,RLX
269,RLX
270,RLX Hybrid
271,RLX Hybrid
272,RLX Hybrid
273,RLX Hybrid
274,RLX Hybrid
275,RLX Hybrid
276,RSX
277,RSX
278,RSX
279,RSX
280,RSX
281,RSX
282,RSX
283,RSX
284,RSX
285,RSX
286,RSX
287,RSX
288,RSX
289,RSX
290,RSX
291,SLX
292,SLX
293,SLX
294,SLX
295,SLX
296,SLX
297,TL
